"index","N","matrix_type","tol","aux"
1,8,"gnp",1e-06,0.1
2,16,"gnp",1e-06,0.1
3,32,"gnp",1e-06,0.1
4,64,"gnp",1e-06,0.1
5,128,"gnp",1e-06,0.1
6,8,"gnp",1e-08,0.1
7,16,"gnp",1e-08,0.1
8,32,"gnp",1e-08,0.1
9,64,"gnp",1e-08,0.1
10,128,"gnp",1e-08,0.1
11,8,"gnp",1e-10,0.1
12,16,"gnp",1e-10,0.1
13,32,"gnp",1e-10,0.1
14,64,"gnp",1e-10,0.1
15,128,"gnp",1e-10,0.1
16,8,"gnp",1e-12,0.1
17,16,"gnp",1e-12,0.1
18,32,"gnp",1e-12,0.1
19,64,"gnp",1e-12,0.1
20,128,"gnp",1e-12,0.1
21,8,"gnp",1e-14,0.1
22,16,"gnp",1e-14,0.1
23,32,"gnp",1e-14,0.1
24,64,"gnp",1e-14,0.1
25,128,"gnp",1e-14,0.1
26,8,"gnp",1e-16,0.1
27,16,"gnp",1e-16,0.1
28,32,"gnp",1e-16,0.1
29,64,"gnp",1e-16,0.1
30,128,"gnp",1e-16,0.1
31,8,"gnp",1e-06,0.2
32,16,"gnp",1e-06,0.2
33,32,"gnp",1e-06,0.2
34,64,"gnp",1e-06,0.2
35,128,"gnp",1e-06,0.2
36,8,"gnp",1e-08,0.2
37,16,"gnp",1e-08,0.2
38,32,"gnp",1e-08,0.2
39,64,"gnp",1e-08,0.2
40,128,"gnp",1e-08,0.2
41,8,"gnp",1e-10,0.2
42,16,"gnp",1e-10,0.2
43,32,"gnp",1e-10,0.2
44,64,"gnp",1e-10,0.2
45,128,"gnp",1e-10,0.2
46,8,"gnp",1e-12,0.2
47,16,"gnp",1e-12,0.2
48,32,"gnp",1e-12,0.2
49,64,"gnp",1e-12,0.2
50,128,"gnp",1e-12,0.2
51,8,"gnp",1e-14,0.2
52,16,"gnp",1e-14,0.2
53,32,"gnp",1e-14,0.2
54,64,"gnp",1e-14,0.2
55,128,"gnp",1e-14,0.2
56,8,"gnp",1e-16,0.2
57,16,"gnp",1e-16,0.2
58,32,"gnp",1e-16,0.2
59,64,"gnp",1e-16,0.2
60,128,"gnp",1e-16,0.2
61,8,"gnp",1e-06,0.3
62,16,"gnp",1e-06,0.3
63,32,"gnp",1e-06,0.3
64,64,"gnp",1e-06,0.3
65,128,"gnp",1e-06,0.3
66,8,"gnp",1e-08,0.3
67,16,"gnp",1e-08,0.3
68,32,"gnp",1e-08,0.3
69,64,"gnp",1e-08,0.3
70,128,"gnp",1e-08,0.3
71,8,"gnp",1e-10,0.3
72,16,"gnp",1e-10,0.3
73,32,"gnp",1e-10,0.3
74,64,"gnp",1e-10,0.3
75,128,"gnp",1e-10,0.3
76,8,"gnp",1e-12,0.3
77,16,"gnp",1e-12,0.3
78,32,"gnp",1e-12,0.3
79,64,"gnp",1e-12,0.3
80,128,"gnp",1e-12,0.3
81,8,"gnp",1e-14,0.3
82,16,"gnp",1e-14,0.3
83,32,"gnp",1e-14,0.3
84,64,"gnp",1e-14,0.3
85,128,"gnp",1e-14,0.3
86,8,"gnp",1e-16,0.3
87,16,"gnp",1e-16,0.3
88,32,"gnp",1e-16,0.3
89,64,"gnp",1e-16,0.3
90,128,"gnp",1e-16,0.3
91,8,"gnp",1e-06,0.4
92,16,"gnp",1e-06,0.4
93,32,"gnp",1e-06,0.4
94,64,"gnp",1e-06,0.4
95,128,"gnp",1e-06,0.4
96,8,"gnp",1e-08,0.4
97,16,"gnp",1e-08,0.4
98,32,"gnp",1e-08,0.4
99,64,"gnp",1e-08,0.4
100,128,"gnp",1e-08,0.4
101,8,"gnp",1e-10,0.4
102,16,"gnp",1e-10,0.4
103,32,"gnp",1e-10,0.4
104,64,"gnp",1e-10,0.4
105,128,"gnp",1e-10,0.4
106,8,"gnp",1e-12,0.4
107,16,"gnp",1e-12,0.4
108,32,"gnp",1e-12,0.4
109,64,"gnp",1e-12,0.4
110,128,"gnp",1e-12,0.4
111,8,"gnp",1e-14,0.4
112,16,"gnp",1e-14,0.4
113,32,"gnp",1e-14,0.4
114,64,"gnp",1e-14,0.4
115,128,"gnp",1e-14,0.4
116,8,"gnp",1e-16,0.4
117,16,"gnp",1e-16,0.4
118,32,"gnp",1e-16,0.4
119,64,"gnp",1e-16,0.4
120,128,"gnp",1e-16,0.4
121,8,"gnp",1e-06,0.5
122,16,"gnp",1e-06,0.5
123,32,"gnp",1e-06,0.5
124,64,"gnp",1e-06,0.5
125,128,"gnp",1e-06,0.5
126,8,"gnp",1e-08,0.5
127,16,"gnp",1e-08,0.5
128,32,"gnp",1e-08,0.5
129,64,"gnp",1e-08,0.5
130,128,"gnp",1e-08,0.5
131,8,"gnp",1e-10,0.5
132,16,"gnp",1e-10,0.5
133,32,"gnp",1e-10,0.5
134,64,"gnp",1e-10,0.5
135,128,"gnp",1e-10,0.5
136,8,"gnp",1e-12,0.5
137,16,"gnp",1e-12,0.5
138,32,"gnp",1e-12,0.5
139,64,"gnp",1e-12,0.5
140,128,"gnp",1e-12,0.5
141,8,"gnp",1e-14,0.5
142,16,"gnp",1e-14,0.5
143,32,"gnp",1e-14,0.5
144,64,"gnp",1e-14,0.5
145,128,"gnp",1e-14,0.5
146,8,"gnp",1e-16,0.5
147,16,"gnp",1e-16,0.5
148,32,"gnp",1e-16,0.5
149,64,"gnp",1e-16,0.5
150,128,"gnp",1e-16,0.5
151,8,"gnp",1e-06,0.6
152,16,"gnp",1e-06,0.6
153,32,"gnp",1e-06,0.6
154,64,"gnp",1e-06,0.6
155,128,"gnp",1e-06,0.6
156,8,"gnp",1e-08,0.6
157,16,"gnp",1e-08,0.6
158,32,"gnp",1e-08,0.6
159,64,"gnp",1e-08,0.6
160,128,"gnp",1e-08,0.6
161,8,"gnp",1e-10,0.6
162,16,"gnp",1e-10,0.6
163,32,"gnp",1e-10,0.6
164,64,"gnp",1e-10,0.6
165,128,"gnp",1e-10,0.6
166,8,"gnp",1e-12,0.6
167,16,"gnp",1e-12,0.6
168,32,"gnp",1e-12,0.6
169,64,"gnp",1e-12,0.6
170,128,"gnp",1e-12,0.6
171,8,"gnp",1e-14,0.6
172,16,"gnp",1e-14,0.6
173,32,"gnp",1e-14,0.6
174,64,"gnp",1e-14,0.6
175,128,"gnp",1e-14,0.6
176,8,"gnp",1e-16,0.6
177,16,"gnp",1e-16,0.6
178,32,"gnp",1e-16,0.6
179,64,"gnp",1e-16,0.6
180,128,"gnp",1e-16,0.6
181,8,"gnp",1e-06,0.7
182,16,"gnp",1e-06,0.7
183,32,"gnp",1e-06,0.7
184,64,"gnp",1e-06,0.7
185,128,"gnp",1e-06,0.7
186,8,"gnp",1e-08,0.7
187,16,"gnp",1e-08,0.7
188,32,"gnp",1e-08,0.7
189,64,"gnp",1e-08,0.7
190,128,"gnp",1e-08,0.7
191,8,"gnp",1e-10,0.7
192,16,"gnp",1e-10,0.7
193,32,"gnp",1e-10,0.7
194,64,"gnp",1e-10,0.7
